,POR DEFINIR,POR DEFINIR,POR DEFINIR,POR DEFINIR,PE
,ABBOTT EPD CORP,ABBOTT C&E,ABBOTT C&E,CARDIOPHARM,PE
,ABBOTT EPD CORP,ABBOTT CH,ABBOTT CH,K-2,PE
,ABBOTT EPD CORP,ABBOTT DERMA,ABBOTT DERMA,MEDIDERM,PE
1044796683,ABBOTT EPD CORP,App1t,ABBOTT EPD,ABBOTT,PE
,ABBOTT EPD CORP,ABBOTT NEURO,ABBOTT NEURO,DRUGTECH,PE
,ABBOTT EPD CORP,ABBOTT P&G,ABBOTT P&G,FARMINDUSTRIA,PE
,ABBOTT EPD CORP,ABBOTT RC,ABBOTT RC,NEUMOBIOTICS,PE
,ABBOTT EPD CORP,ABBOTT WH,ABBOTT WH,GYNOPHARM,PE
,MERCK CORP,ABEEFE BRISTOL M-S,ABEEFE BRISTOL M-S,ABEEFE BRISTOL M-,PE
,AC FARMA CORP,AC FARMA,AC FARMA,AC FARMA,PE
,ACCORD,ACCORD,ACCORD,ACCORD HEALTHCARE,PE
,ALBIS S.A.,ALBIS S.A.,ALBIS S.A.,ALBIS NUTRICIA,PE
,QUIMICA SUIZA CORP,ALFA,ALFA,ALFA,PE
,ALKOFARMA,ALKOFARMA,ALKOFARMA,,PE
,ALPHARMA,ALPHARMA,ALPHARMA,ALPHARMA,PE
,AMERICA,AMERICA,AMERICA,,PE
,AMEX PHARMA,AMEX PHARMA,AMEX PHARMA,,PE
,FARMAGRUP CORP,ANDREU,ANDREU,ANDREU,PE
,ANSOLAT,ANSOLAT,ANSOLAT,ANSOLAT,PE
,ASPEN,ASPEN,ASPEN,ASPEN PHARMA,PE
,ASTRAZENECA,ASTRAZENECA,ASTRAZENECA,ASTRAZENECA,PE
,MEDIFARMA CORP,ATRAL CIPAN FARMA,ATRAL CIPAN FARMA,ATRAL-CIPAN,PE
,AVALON,AVALON,AVALON,AVALON,PE
,AVANX,AVANX,AVANX,AVANX LAB.,PE
,AXON PHARMA,AXON PHARMA,AXON PHARMA,AXON PHARMA,PE
,B.BRAUN MEDIC PERU,B.BRAUN MEDIC PERU,B.BRAUN MEDIC PERU,B.BRAUN,PE
,BAGO,BAGO,BAGO,BAGO,PE
,BAYER CORP,BAYER CH,BAYER CH,,PE
,BAYER CORP,BAYER PH,BAYER PH,,PE
,BAYER CORP,BAYER PHARMA,BAYER PHARMA,BAYER PHARMA,PE
,BEIERSDORF,BEIERSDORF,BEIERSDORF,BEIERSDORF,PE
,BIO REG PHARMA,BIO REG PHARMA,BIO REG PHARMA,BIO REG PHARM,PE
,BIODERMA,BIODERMA,BIODERMA,BIODERMA,PE
,BIOGENET,BIOGENET,BIOGENET,,PE
,BIOPAS,BIOPAS,BIOPAS,BIOPAS S.A.,PE
,DEUTSCHE PHARMA SA,BIOPHAR,BIOPHAR,,PE
,BIOS PERU,BIOS PERU,BIOS PERU,BIOS PERU,PE
,BIOSANA,BIOSANA,BIOSANA,BIOSANA,PE
,BIOSYNTEC S.A.,BIOSYNTEC S.A.,BIOSYNTEC S.A.,BIOSYNTEC,PE
,BIOTEC,BIOTEC,BIOTEC,BIOTEC,PE
,BIOTECH,BIOTECH,BIOTECH,BIOTECH,PE
,BIOTOSCANA,BIOTOSCANA,BIOTOSCANA,BIOTOSCANA FARMA,PE
,BMC FARMA,BMC FARMA,BMC FARMA,,PE
,BOEHRINGER ING COR,BOEHRINGER ING,BOEHRINGER ING,BOEHRINGER ING.,PE
,BONAPHARM,BONAPHARM,BONAPHARM,BONAPHARM,PE
,BRISAFARMA,BRISAFARMA,BRISAFARMA,BRISAFARMA,PE
,CAFERMA,CAFERMA,CAFERMA,CAFERMA,PE
,CATALYSIS,CATALYSIS,CATALYSIS,,PE
,CIFARMA,CIFARMA,CIFARMA,CIFARMA,PE
,GRUPO ALBIS,CIPA,CIPA,CIPA,PE
,COASPHARMA,COASPHARMA,COASPHARMA,,PE
,COLICHON,COLICHON,COLICHON,COLICHON,PE
,COLLIERE,COLLIERE,COLLIERE,COLLIERE,PE
,COOPER,COOPER,COOPER,LA COOPER,PE
,CORAL,CORAL,CORAL,,PE
,CORPORACION BIOTEC,CORPORACION BIOTEC,CORPORACION BIOTEC,,PE
,CORVAL,CORVAL,CORVAL,CORVAL,PE
,CRESPAL,CRESPAL,CRESPAL,CRESPAL,PE
,D OLAPHARM,D OLAPHARM,D OLAPHARM,D'OLAPHARM,PE
,D&M PHARMA,D&M PHARMA,D&M PHARMA,D&M PHARMA,PE
,DANY,DANY,DANY,DANY,PE
,AC FARMA CORP,DCI-AC,DCI-AC,,PE
,DDM BIOHEALTH,DDM BIOHEALTH,DDM BIOHEALTH,,PE
,DELFARMA,DELFARMA,DELFARMA,DELFARMA,PE
,DEUTSCHE PHARMA SA,DEUTSCHE PHARMA,DEUTSCHE PHARMA,DEUTSCHE PHARMA,PE
,DIPHASAC,DIPHASAC,DIPHASAC,DIPHASAC,PE
,DISPOLAB,DISPOLAB,DISPOLAB,DISPOLAB,PE
,DOLAPHARMA,DOLAPHARMA,DOLAPHARMA,,PE
,DRINTEFA,DRINTEFA,DRINTEFA,DRINTEFA,PE
,DROG DEL MUNDO S.A,DROG DEL MUNDO S.A,DROG DEL MUNDO S.A,,PE
,DROGUERIA CFARMA,DROGUERIA CFARMA,DROGUERIA CFARMA,,PE
,DROGUERIA PERU,DROGUERIA PERU,DROGUERIA PERU,DROG.PERU,PE
,DROKASA,DROKASA,DROKASA,,PE
,DROPESAC,DROPESAC,DROPESAC,DROPESAC,PE
,DUBONP,DUBONP,DUBONP,DUBONP,PE
,DUCRAY,DUCRAY,DUCRAY,,PE
,ELIFARMA,ELIFARMA,ELIFARMA,ELIFARMA,PE
,EMCURE PHARMA,EMCURE PHARMA,EMCURE PHARMA,EMCURE PHARMA PER,PE
,EMDIEX,EMDIEX,EMDIEX,EMDIEX,PE
,ESKE GROUP,ESKE GROUP,ESKE GROUP,ESKE GROUP,PE
,EUROFARMA,EUROFARMA,EUROFARMA,EUROFARMA,PE
,EXELTIS,EXELTIS,EXELTIS,EXELTIS,PE
,EXMEK,EXMEK,EXMEK,EXMEK PHARMACEUTI,PE
,GRUPO ALBIS,FAES,FAES,FAES,PE
,FARBIOQUIMSA,FARBIOQUIMSA,FARBIOQUIMSA,FARBIOQUIMSA,PE
,FARMACARE,FARMACARE,FARMACARE,DROG.FARMACARE,PE
,FARMACEUTICA BQ,FARMACEUTICA BQ,FARMACEUTICA BQ,FARMAC.BQ,PE
,FARMACHAL,FARMACHAL,FARMACHAL,FARMACHAL,PE
,FARMACOM,FARMACOM,FARMACOM,FARMACOM,PE
,FARMAKONSUMA,FARMAKONSUMA,FARMAKONSUMA,FARMAKONSUMA,PE
,FARMAQUIL,FARMAQUIL,FARMAQUIL,,PE
,DECO CORP,FARMARECETAS,FARMARECETAS,,PE
,FARMASUR,FARMASUR,FARMASUR,FARMASUR,PE
,FARMEDIC,FARMEDIC,FARMEDIC,FARMEDIC,PE
,FARMO ANDINA CORP,FARMO ANDINA,FARMO ANDINA,,PE
,FARVET,FARVET,FARVET,FARVET,PE
,FERQUIM CORP,FERRER,FERRER,FERRER,PE
,FERVAL,FERVAL,FERVAL,,PE
,FISSION LAB,FISSION LAB,FISSION LAB,,PE
,FRESENIUS KABI,FRESENIUS KABI,FRESENIUS KABI,,PE
,FREZYDERM,FREZYDERM,FREZYDERM,FREZYDERM,PE
,GABBLAN,GABBLAN,GABBLAN,GABBLAN,PE
,GADOR PHARMA,GADOR PHARMA,GADOR PHARMA,,PE
,QUIMICA SUIZA CORP,GALDERMA,GALDERMA,GALDERMA,PE
,GALENICOS,GALENICOS,GALENICOS,,PE
,GALENICUM,GALENICUM,GALENICUM,GALENICUM HEALTH,PE
,GALENTIC PHARMA,GALENTIC PHARMA,GALENTIC PHARMA,,PE
,MEGALABS CORP.,GARDEN HOUSE,GARDEN HOUSE,GARDEN HOUSE,PE
,GEDEON RICHTER PER,GEDEON RICHTER PER,GEDEON RICHTER PER,GEDEON RICHTER PE,PE
,GEMEFAR,GEMEFAR,GEMEFAR,GEMEFAR,PE
,GENCOPHARMACEUTICA,GENCOPHARMACEUTICA,GENCOPHARMACEUTICA,GENCOPHARMAC.,PE
,HELLAS FARM,GENEPHARM,GENEPHARM,GENEPHARM,PE
,SANOFI,GENFAR,GENFAR,GENFAR,PE
,GENOMMA,GENOMMA,GENOMMA,GENOMMA,PE
,GLAXOSMITHKL CORP,GLAXOSMITHKLINE,GLAXOSMITHKLINE,GSK PHARMA,PE
,GLENMARK,GLENMARK,GLENMARK,GLENMARK PHARMA,PE
,GNC,GNC,GNC,,PE
,GRUNENTHAL CORP,GRUNENTHAL,GRUNENTHAL,GRUNENTHAL,PE
,GLAXOSMITHKL CORP,GSK CONSUMER HEALT,GSK CONSUMER HEALT,GSK CONSUMER,PE
,HERSIL CORP,HERSIL,HERSIL,HERSIL,PE
,HIMALAYA,HIMALAYA,HIMALAYA,HIMALAYA,PE
,HOME PHARMA,HOME PHARMA,HOME PHARMA,HOME PHARMA,PE
,HYNOSCHA,HYNOSCHA,HYNOSCHA,,PE
,INDUFAR,INDUFAR,INDUFAR,INDUFAR,PE
,INDUQUIMICA,INDUQUIMICA,INDUQUIMICA,INDUQUIMICA,PE
,INFERMED,INFERMED,INFERMED,INFERMED,PE
,INNOVADERM,INNOVADERM,INNOVADERM,INNOVADERM,PE
,INRETAIL,INRETAIL,INRETAIL,INRETAIL PHARMA,PE
,INTAS,INTAS,INTAS,INTAS,PE
,INTI PERU,INTI PERU,INTI PERU,INTI,PE
,INTIHUATANA,INTIHUATANA,INTIHUATANA,INTIHUATANA PHARM,PE
,INTIPHARM,INTIPHARM,INTIPHARM,INTIPHARMA,PE
,INTRALAB,INTRALAB,INTRALAB,INTRALAB,PE
,IPCA,IPCA,IPCA,IPCA,PE
,IQ FARMA,IQ FARMA,IQ FARMA,IQFARMA,PE
,ISDIN,ISDIN,ISDIN,ISDIN,PE
,ITALFARMACO,ITALFARMACO,ITALFARMACO,,PE
,JOHNSON+JOHNSON CO,JANSSEN,JANSSEN,JANSSEN,PE
,JOHNSON+JOHNSON CO,JOHNSON JOHNSON,JOHNSON JOHNSON,JOHNSON JOHNSON,PE
,JPS,JPS,JPS,JPS,PE
,KEYFARM,KEYFARM,KEYFARM,KEYFARM S.A.C.,PE
,LA ROCHE-POSAY,LA ROCHE-POSAY,LA ROCHE-POSAY,LA ROCHE POSAY,PE
,LA SANTE,LA SANTE,LA SANTE,,PE
,LABOT,LABOT,LABOT,LABOT,PE
,LAFAGE,LAFAGE,LAFAGE,LAFAGE,PE
,LAFAR,LAFAR,LAFAR,LAFAR,PE
,LAFARMED,LAFARMED,LAFARMED,LAFARME,PE
,LAFARPE,LAFARPE,LAFARPE,LAFARPE,PE
,CONTINENTAL,LAMOSAN,LAMOSAN,LAMOSAN,PE
,LECLERC,LECLERC,LECLERC,LECLERC,PE
,LILLY,LILLY,LILLY,,PE
,LIPHARMA,LIPHARMA,LIPHARMA,LIPHARMA,PE
,LONIS PHARMA,LONIS PHARMA,LONIS PHARMA,,PE
,LOREAL CERAVE,LOREAL CERAVE,LOREAL CERAVE,LOREAL,PE
,LUDBER,LUDBER,LUDBER,LUDBER,PE
,DEUTSCHE PHARMA SA,LUITPOLD,LUITPOLD,LUITPOLD,PE
,LUKOLL,LUKOLL,LUKOLL,LUKOLL,PE
,LUNDBECK,LUNDBECK,LUNDBECK,,PE
,LUSA,LUSA,LUSA,LUSA,PE
,LUXOR PHARMACEUTIC,LUXOR PHARMACEUTIC,LUXOR PHARMACEUTIC,LUXOR PHARMA,PE
,LYAFARM,LYAFARM,LYAFARM,,PE
,MAQUIFARMA,MAQUIFARMA,MAQUIFARMA,MAQUIFARMA,PE
,MARKOS CORP.,MARKOS,MARKOS,MARKOS,PE
,MARTI DERM,MARTI DERM,MARTI DERM,,PE
,MASON,MASON,MASON,MASON,PE
,MAVER CORP,MAVER,MAVER,MAVER,PE
,MECOFARM,MECOFARM,MECOFARM,MECOFARMA,PE
,MEDIFARMA CORP,MEDIFARMA,MEDIFARMA,MEDIFARMA,PE
,MEDIGROUP,MEDIGROUP,MEDIGROUP,MEDIGROUP,PE
,MEDISCIENCE,MEDISCIENCE,MEDISCIENCE,MEDISCIENCE,PE
,MEDROCK,MEDROCK,MEDROCK,MEDROCK,PE
,MEDSTYLE,MEDSTYLE,MEDSTYLE,MEDSTYLE,PE
,MEGA LIFES CIENCES,MEGA LIFES CIENCES,MEGA LIFES CIENCES,,PE
,MEGALABS CORP.,MEGALABS,MEGALABS,MEGALABS MLB,PE
,MENARINI CORP,MENARINI,MENARINI,MENARINI,PE
,MERCK BIOPHARMA,MERCK BIOPHARMA,MERCK BIOPHARMA,MERCK BRISTOL,PE
,PROCTER GAMBLE COR,MERCK CH,MERCK CH,MERCK CH,PE
,MSD CORP,MERCK SHARP DOHME,MERCK SHARP DOHME,MERCK SHARP DOHME,PE
,GRUPO ALBIS,MERZ,MERZ,MERZ,PE
,MICRO LABS,MICRO LABS,MICRO LABS,MICROLAB,PE
,MSN LABS,MSN LABS,MSN LABS,MSN LAB.PERU,PE
,NATURES BOUNTY,NATURES BOUNTY,NATURES BOUNTY,,PE
,NATURGEN,NATURGEN,NATURGEN,,PE
,NEOL PHARMA,NEOL PHARMA,NEOL PHARMA,,PE
,PEIKARD CORP,NEUTROGENA,NEUTROGENA,,PE
,NINET,NINET,NINET,,PE
,NOBEL,NOBEL,NOBEL,,PE
,NORDIC,NORDIC,NORDIC,NORDIC,PE
,NOVARTIS CORP,NOVARTIS,NOVARTIS,NOVARTIS,PE
,NOVARTIS CORP,NOVARTIS BIOCHEMIE,NOVARTIS BIOCHEMIE,NOVARTIS BIOCHEMI,PE
,NOVAX,NOVAX,NOVAX,NOVAX EIRL,PE
,NUTRIPHARMA,NUTRIPHARMA,NUTRIPHARMA,,PE
,OM,OM,OM,,PE
,OQ PHARMA,OQ PHARMA,OQ PHARMA,OQ PHARMA,PE
,ORBIS INTERNATION,ORBIS INTERNATION,ORBIS INTERNATION,ORBIS,PE
,OTARVASQ,OTARVASQ,OTARVASQ,OTARVASQ,PE
,PAK FARMA,PAK FARMA,PAK FARMA,PAK FARMA,PE
,DEUTSCHE PHARMA SA,PERUANO GERMANO,PERUANO GERMANO,PERUANO GERMANO,PE
,PERUFARMA LAB,PERUFARMA LAB,PERUFARMA LAB,,PE
,GRUPO ALBIS,PERUGEN,PERUGEN,,PE
,PERULAB,PERULAB,PERULAB,PERULAB,PE
,PFIZER,PFIZER,PFIZER,PFIZER,PE
,PHARMA BOY,PHARMA BOY,PHARMA BOY,,PE
,PHARMA C,PHARMA C,PHARMA C,PHARMA CARE,PE
,PHARMA ROY,PHARMA ROY,PHARMA ROY,PHARMA ROY,PE
,PHARMA UNO,PHARMA UNO,PHARMA UNO,PHARMA UNO,PE
,PHARMACE DISTOLOZA,PHARMACE DISTOLOZA,PHARMACE DISTOLOZA,,PE
,PHARMAGEN,PHARMAGEN,PHARMAGEN,PHARMAGEN,PE
,PHARMARIS,PHARMARIS,PHARMARIS,PHARMARIS PERU,PE
,PHARMATECH,PHARMATECH,PHARMATECH,PHARMATECH,PE
,PHARMED,PHARMED,PHARMED,PHARMED CORP,PE
,PHARMEX,PHARMEX,PHARMEX,PHARMEX,PE
,PIERRE FABRE,PIERRE FABRE,PIERRE FABRE,PIERRE FABRE,PE
,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,PE
,PROCTER GAMBLE COR,PROCTER GAMBLE,PROCTER GAMBLE,PROCTER&GAMBLE,PE
,QM PHARMA,QM PHARMA,QM PHARMA,,PE
,CONTINENTAL,QUALICONT,QUALICONT,QUALICONT,PE
,QUALIPHARM,QUALIPHARM,QUALIPHARM,QUALIPHARM,PE
,QUIMICA SUIZA CORP,QUILAB,QUILAB,QUILAB,PE
,QUILLA PHARMA,QUILLA PHARMA,QUILLA PHARMA,QUILLA PHARMA,PE
,QUIMFA,QUIMFA,QUIMFA,QUIMFA,PE
,QUIMICA MEDICAL,QUIMICA MEDICAL,QUIMICA MEDICAL,,PE
,RANBAXY-PRP,RANBAXY-PRP,RANBAXY-PRP,RANBAXY,PE
,REMY,REMY,REMY,,PE
,RILASTIL,RILASTIL,RILASTIL,,PE
,RIVER PHARMA,RIVER PHARMA,RIVER PHARMA,,PE
,ROCHE,ROCHE,ROCHE,ROCHE,PE
,ROCNARF,ROCNARF,ROCNARF,ROCNARF,PE
,ROSTER,ROSTER,ROSTER,ROSTER S A,PE
,ROXFARMA,ROXFARMA,ROXFARMA,S.J.ROXFARMA,PE
,SANDERSON,SANDERSON,SANDERSON,SANDERSON,PE
,SANDOZ,SANDOZ,SANDOZ,,PE
,SANOFI,SANOFI CHC,SANOFI CHC,,PE
,SANOFI,SANOFI PHARMA,SANOFI PHARMA,SANOFI,PE
,SAVAL,SAVAL,SAVAL,SAVAL,PE
,SCIENTIA PHARMA,SCIENTIA PHARMA,SCIENTIA PHARMA,,PE
,SCOP DEL PERU,SCOP DEL PERU,SCOP DEL PERU,,PE
,SENOSIAIN,SENOSIAIN,SENOSIAIN,SENOSIAIN,PE
,SERVIER,SERVIER,SERVIER,SERVIER,PE
,SESDERMA,SESDERMA,SESDERMA,SESDERMA,PE
,DECO CORP,SHERFARMA S.A,SHERFARMA S.A,SHERFARMA S.A.,PE
,SIEGFRIED,SIEGFRIED,SIEGFRIED,SIEGFRIED,PE
,SMART PHARMA,SMART PHARMA,SMART PHARMA,SMART PHARMA,PE
,SOLTON,SOLTON,SOLTON,,PE
,SUN NATURAL,SUN NATURAL,SUN NATURAL,,PE
,SUN PHARMA,SUN PHARMA,SUN PHARMA,SUN PHARMA,PE
,SUNVIT,SUNVIT,SUNVIT,,PE
,TAKEDA CORP,TAKEDA,TAKEDA,TAKEDA,PE
,TECHSPHERE,TECHSPHERE,TECHSPHERE,,PE
,TECNOFARMA,TECNOFARMA,TECNOFARMA,TECNOFARMA,PE
,TERBOL,TERBOL,TERBOL,TERBOL,PE
,TEVA CORP,TEVA,TEVA,TEVA PERU,PE
,THEFAR,THEFAR,THEFAR,THEFAR,PE
,TOBAL,TOBAL,TOBAL,,PE
,TULIPANESA,TULIPANESA,TULIPANESA,,PE
,UNIMED,UNIMED,UNIMED,UNIMED,PE
,UNITED BIOTECH,UNITED BIOTECH,UNITED BIOTECH,,PE
,GRUPO ALBIS,URIAGE,URIAGE,URIAGE,PE
,GRUPO ALBIS,VALEANT,VALEANT,VALEANT,PE
,VANOCI,VANOCI,VANOCI,VANOCI,PE
,VICTUS,VICTUS,VICTUS,,PE
,VITAFARMA,VITAFARMA,VITAFARMA,VITA PHARMA,PE
,VITALIS,VITALIS,VITALIS,,PE
,ACHE,ACHE,,ACHE,PE
,AFARMACH,AFARMACH,,AFARMACH,PE
,AG FARMA,AG FARMA,,AG FARMA,PE
,AGRIPINO,AGRIPINO,,AGRIPINO,PE
